Repository	Namespace	app
areyouhere-server	areyouhere	areyouhere-server
hodu	hodu	hodu-core
hodu	hodu	hodu-server
internhasha-server	interhasha-dev	interhasha-server
internhasha-server	interhasha-prod	interhasha-server
memowithtags-server	memowithtags-dev	memowithtags-server
memowithtags-server	memowithtags-prod	memowithtags-server
pupuri-bot	pupuri-prod	pupuri-bot
siksha-api	siksha-dev	siksha-api-server
siksha-crawler	siksha-dev	siksha-crawler
siksha-spring	siksha-dev	siksha-spring-server
siksha-api	siksha-prod	siksha-api-server
siksha-crawler	siksha-prod	siksha-crawler
snutt-ev	snutt-dev	snutt-ev
snutt-ev	snutt-dev	snutt-ev-batch-lecture-sync-latest-semester
snutt-ev-web	snutt-dev	snutt-ev-web
snutt-frontend	snutt-dev	snutt-theme-market
snutt	snutt-dev	snutt-timetable
snutt	snutt-dev	snutt-timetable-batch-coursebook
snutt-ev	snutt-prod	snutt-ev
snutt-ev	snutt-prod	snutt-ev-batch-lecture-sync-latest-semester
snutt-ev-web	snutt-prod	snutt-ev-web
snutt-frontend	snutt-prod	snutt-theme-market
snutt	snutt-prod	snutt-timetable
snutt	snutt-prod	snutt-timetable-batch-coursebook
waffle-account-server	sso-dev	account-server
waffle-kong-gateway	sso-dev	kong-gateway
waffle-account-server	sso-prod	account-server
waffle-kong-gateway	sso-prod	kong-gateway
truffle	truffle-prod	truffle-consumer
truffle	truffle-prod	truffle-dashboard
wacruit-judge	wacruit-dev	wacruit-judge-server
wacruit-server	wacruit-dev	wacruit-server
wacruit-judge	wacruit-dev	wacruit-judge-worker
wacruit-judge	wacruit-prod	wacruit-judge-server
wacruit-server	wacruit-prod	wacruit-server
wacruit-judge	wacruit-prod	wacruit-judge-worker
waffledotcom-server	waffledotcom-dev	waffledotcom-server
waffledotcom-server	waffledotcom-prod	waffledotcom-server
waffice-server	waffice-dev	waffice-server
waffice-server	waffice-prod	waffice-server

